id,area_sqft,bedrooms,bathrooms,age_years,basement,garage_spaces,lot_size_sqft,floors,neighborhood,year_sold,month_sold,sale_price
37,2491,3,2,43,1,3,5715,2,Central,2022,11,450000
38,906,1,1,4,0,1,2704,1,Central,2022,6,222000
39,2378,3,1,20,1,0,8695,1,East,2022,9,420000
40,2426,4,3,2,0,0,13091,1,East,2022,10,437000
41,1063,2,1,45,0,2,4598,1,East,2022,11,229000
42,2315,3,1,2,1,0,7221,2,West,2022,5,386000
43,1332,2,1,3,1,2,2718,1,West,2021,5,303000
44,3849,5,4,20,0,1,10793,2,South,2022,10,685000
45,1184,1,1,34,0,1,5606,1,North,2022,8,163000
46,1760,3,2,24,1,2,7822,1,Central,2022,5,371000
47,1821,4,4,3,1,1,8865,1,South,2022,5,415000
48,2382,4,1,1,0,2,11127,2,West,2022,11,401000
49,1945,4,2,34,1,2,8567,1,Central,2022,11,442000
50,1004,1,1,49,1,3,5975,1,South,2021,12,126000
51,3595,6,4,37,0,1,7633,3,West,2023,5,660000
52,2890,5,3,13,1,3,8380,2,North,2021,11,628000
53,3600,5,2,44,1,2,12401,2,Central,2021,3,843000
54,2868,5,3,10,1,3,9694,2,North,2022,4,674000
55,2468,3,1,18,1,0,11732,2,East,2022,9,436000
56,3853,5,5,14,1,2,17974,3,East,2021,4,1001000
57,1518,2,1,12,0,3,3689,1,West,2021,12,186000
58,1170,1,1,35,0,0,3280,1,North,2021,10,116000
59,944,1,1,18,1,2,4570,1,East,2023,6,265000
60,2348,3,2,5,1,3,11642,2,South,2021,9,408000
61,2071,4,1,4,1,2,5186,1,South,2022,2,387000
62,1449,2,2,1,1,0,6893,1,West,2022,8,260000
63,2628,4,4,22,1,2,15272,2,North,2022,7,609000
64,1988,3,1,3,1,0,6600,2,West,2023,3,365000
65,980,1,1,2,1,3,3730,1,Central,2021,2,288000
66,2166,4,2,27,1,0,5182,2,Central,2022,10,407000
67,1200,2,2,28,0,1,5430,1,West,2021,8,151000
68,3350,4,1,33,1,1,7335,2,South,2021,10,505000
69,1543,2,2,16,1,2,8062,1,East,2022,1,335000
70,4134,6,2,43,1,3,21226,3,Central,2022,9,930000
71,3407,5,1,46,1,1,10214,3,Central,2023,1,661000
72,1270,2,1,37,0,1,4415,1,East,2021,9,219000
73,1491,2,1,25,1,1,5971,1,Central,2022,7,282000
74,2697,4,4,5,1,3,11386,1,Central,2022,9,691000
75,3222,4,2,49,1,2,12321,2,Central,2021,7,593000
76,2572,4,2,4,1,1,5833,2,West,2021,1,478000
77,2547,5,4,3,0,2,12235,1,Central,2021,10,630000
78,1577,2,1,12,1,1,8029,1,Central,2022,9,289000
79,1834,4,3,2,1,2,6087,2,North,2021,10,435000
80,1196,1,1,49,1,1,3750,1,Central,2021,2,166000
81,2582,4,2,22,1,3,13987,2,South,2022,6,551000
82,2476,4,1,20,1,3,7845,2,East,2021,2,500000
83,1839,3,1,27,0,2,7663,2,West,2022,9,295000
84,1003,1,1,16,1,2,2295,1,West,2023,6,181000
85,1990,3,2,1,0,2,6810,1,Central,2021,3,418000
86,1885,3,1,24,1,1,9796,1,East,2021,2,394000
87,2965,4,4,31,0,2,13038,1,South,2021,1,397000
88,2251,3,2,10,0,2,9052,2,North,2022,3,436000
89,3355,5,1,34,1,3,13523,2,East,2022,8,666000
90,1974,3,1,3,1,1,11050,2,West,2021,11,325000
91,1066,1,1,3,1,2,6009,1,South,2022,2,265000
92,2880,4,4,3,1,2,16207,1,East,2022,9,716000
93,2864,5,4,7,1,1,6573,2,South,2022,7,560000
94,1815,4,3,40,1,2,4507,2,West,2021,4,296000
95,3187,5,1,39,1,3,13858,1,North,2022,9,567000
96,1874,3,1,8,1,3,7059,2,West,2022,7,377000
97,2319,3,1,22,1,2,8475,1,South,2022,12,331000
98,2300,3,2,31,1,0,9883,2,North,2021,8,394000
99,1563,2,2,3,1,3,4664,2,Central,2021,7,348000
100,973,1,1,3,0,2,4771,1,East,2021,7,214000
101,1523,2,1,49,1,1,5532,2,East,2021,3,271000
102,2251,3,1,24,0,1,7671,1,West,2022,2,269000
103,1776,3,2,49,1,1,6492,2,West,2022,4,268000
104,2147,3,1,5,0,0,7268,2,West,2022,8,333000
105,4247,5,4,30,1,2,17126,3,West,2023,2,707000
106,1150,1,1,3,0,1,6877,1,East,2021,6,249000
107,1768,2,1,4,1,0,10316,2,South,2022,2,354000
108,2974,5,3,17,1,1,14312,2,South,2023,3,597000
109,1288,3,3,5,1,2,6723,1,Central,2022,1,342000
110,1176,1,1,3,1,1,4171,1,Central,2021,10,254000
111,1555,3,2,4,1,0,8332,1,South,2021,1,280000
112,1470,2,2,1,1,1,6794,1,North,2023,2,342000
113,3725,5,1,30,1,2,17232,1,South,2023,5,673000
114,3202,5,4,15,1,0,15477,3,West,2022,12,571000
115,1933,4,1,2,1,2,8223,1,North,2021,9,385000
116,3364,5,4,3,1,1,17689,2,West,2022,12,533000
117,3287,4,2,2,1,1,18267,1,Central,2021,2,606000
118,957,1,1,24,1,1,5577,1,Central,2022,4,250000
119,2735,5,2,2,0,1,11626,1,North,2021,12,568000
120,2442,3,2,33,1,1,10372,2,Central,2021,1,388000
121,2533,5,4,1,1,1,7736,2,West,2021,12,502000
122,3325,4,3,3,1,1,17006,3,North,2022,8,679000
123,1924,4,1,43,1,2,5308,1,East,2023,4,382000
124,1310,2,2,31,1,0,7086,1,West,2022,8,191000
125,1174,1,1,2,1,3,6172,1,Central,2022,8,292000
126,1668,3,2,38,0,3,8275,2,North,2021,1,351000
127,2717,5,3,15,1,2,8910,2,North,2022,11,607000
128,3436,5,4,40,0,1,13472,2,East,2022,3,666000
129,1480,2,2,23,0,3,7748,1,Central,2021,10,296000
130,2498,3,2,28,1,1,9085,2,Central,2021,1,448000
131,2336,4,1,50,1,1,8363,2,South,2022,6,336000
132,1222,3,2,3,0,0,5972,1,South,2021,4,215000
133,1117,1,1,24,1,3,3296,1,Central,2021,3,217000
134,2272,4,2,13,1,1,9472,2,West,2022,1,372000
135,4012,6,5,1,0,3,21572,3,Central,2022,4,994000
136,2006,4,2,1,0,1,6766,2,Central,2021,4,434000
137,2259,4,1,2,0,3,7589,2,South,2021,2,366000
138,2970,5,2,26,0,3,15170,1,West,2022,8,460000
139,1747,2,1,21,1,3,10178,2,North,2021,4,357000
140,3772,6,3,20,1,2,21359,1,Central,2022,3,924000
141,3643,6,2,1,1,3,17588,3,West,2022,10,743000
142,1152,2,2,14,0,3,4988,1,Central,2022,1,304000
143,2363,3,1,45,1,1,5580,1,Central,2022,1,391000
144,2175,3,2,9,1,2,7547,1,North,2021,4,455000
145,1451,3,1,25,1,2,4914,1,North,2021,1,272000
146,1169,2,1,35,1,1,4209,1,East,2023,4,261000
147,2365,3,2,36,1,2,8926,1,Central,2023,4,428000
148,2199,3,2,17,0,0,6047,2,Central,2021,11,419000
149,1338,3,3,41,1,2,7739,1,Central,2022,9,257000
150,1497,2,2,8,1,1,6373,1,West,2021,6,224000
151,3909,6,1,43,0,1,17999,2,South,2023,4,659000
152,1270,3,3,3,0,1,6305,1,North,2023,5,312000
153,1124,1,1,4,0,3,5682,1,South,2021,1,232000
154,1742,2,2,2,1,1,10168,2,West,2022,7,317000
155,4022,5,1,36,0,3,20219,2,Central,2022,1,847000
156,1405,3,2,10,0,2,7062,1,South,2021,12,242000
157,1694,3,3,3,1,2,5987,2,Central,2021,8,437000
158,3274,4,3,3,1,1,6747,1,South,2023,1,585000
159,948,1,1,44,0,1,2339,1,South,2022,5,108000
160,3382,4,2,39,1,2,17318,1,East,2021,10,623000
161,1713,3,1,20,1,0,4021,2,East,2022,8,404000
162,1757,2,1,24,1,2,7991,2,Central,2021,10,378000
163,2243,4,2,14,1,3,4761,2,East,2021,12,492000
164,1764,2,1,8,1,1,6229,2,South,2022,12,365000
165,1596,3,2,45,1,2,6779,2,Central,2022,1,330000
166,2933,4,4,2,0,3,9704,2,Central,2022,12,721000
167,2211,3,2,10,1,3,6453,1,West,2022,6,382000
168,965,2,1,5,1,3,2062,1,South,2021,7,237000
169,1294,3,2,16,1,3,5336,1,South,2022,9,281000
170,1991,4,3,13,1,1,8242,2,North,2021,7,440000
171,2211,4,3,17,1,3,13223,1,North,2021,3,443000
172,1379,3,1,2,0,3,5175,1,Central,2022,6,326000
173,2142,4,2,17,0,2,4290,2,North,2022,1,420000
174,1157,2,1,3,0,1,2961,1,East,2023,6,325000
175,2167,4,1,3,1,2,12155,2,West,2023,5,411000
176,911,2,1,2,0,1,5113,1,Central,2023,1,298000
177,2297,4,1,34,1,1,13105,1,North,2022,3,384000
178,2339,3,2,11,0,2,11339,2,East,2022,1,476000
179,3618,6,6,25,1,2,15204,3,South,2023,1,780000
180,1598,2,1,32,0,2,6706,2,South,2023,1,252000
181,2150,3,1,28,1,0,12414,2,South,2021,12,319000
182,1173,2,2,14,1,2,3087,1,East,2021,9,288000
183,4288,6,4,8,1,1,21583,1,North,2023,6,915000
184,3157,5,2,7,1,1,13610,1,East,2022,8,690000
185,1248,2,1,26,1,2,4627,1,North,2021,9,235000
186,1715,2,1,16,0,1,9277,1,Central,2021,9,303000
187,2801,4,4,40,0,0,10404,1,East,2022,4,586000
188,2046,3,1,42,0,1,5891,2,Central,2022,6,350000
189,1762,2,1,3,1,2,4679,1,North,2021,4,409000
190,1364,2,1,2,0,2,2823,1,Central,2023,3,333000
191,903,2,1,25,0,1,4142,1,East,2021,6,201000
192,3477,4,1,5,1,1,10063,1,North,2023,2,658000
193,4240,5,5,1,1,2,21612,2,West,2022,2,753000
194,2497,4,1,43,1,3,10020,1,West,2022,6,348000
195,2337,4,3,3,1,2,13899,1,Central,2022,7,487000
196,1870,3,1,46,1,3,6547,2,West,2022,6,307000
197,3496,5,3,31,1,2,12872,1,North,2023,1,642000
198,3013,4,2,34,0,2,6037,2,South,2021,5,421000
199,3281,4,3,3,1,3,14969,3,East,2021,1,798000
200,2683,5,4,3,1,2,11583,1,North,2022,4,614000
201,2120,4,2,17,0,3,10146,1,West,2022,10,313000
202,1008,1,1,3,1,2,3417,1,East,2023,3,264000
203,1540,3,2,5,1,3,7141,1,Central,2022,10,385000
204,2806,5,1,5,0,2,9270,2,East,2023,1,672000
205,2462,4,2,3,1,3,12856,2,East,2022,7,556000
206,1554,3,2,3,0,0,8323,2,North,2023,6,352000
207,1419,3,2,36,1,2,7642,1,North,2022,1,278000
208,2224,3,1,3,1,3,9687,1,Central,2022,12,466000
209,1103,1,1,1,1,1,4363,1,Central,2022,10,250000
210,1056,2,1,25,0,2,2255,1,East,2022,11,243000
211,1983,3,3,49,0,3,6033,2,Central,2021,9,385000
212,2381,4,4,5,0,1,12559,1,West,2021,6,362000
213,1766,3,1,2,0,2,4953,2,Central,2021,3,450000
214,1452,3,2,21,1,2,4321,1,South,2021,3,244000
215,3477,5,4,44,1,2,12412,2,East,2022,9,674000
216,1443,3,3,36,1,0,7075,1,East,2022,4,292000
217,1601,3,2,24,1,0,3238,2,East,2021,2,401000
218,3114,4,3,5,1,1,18014,3,South,2022,10,585000
219,1932,3,1,19,1,1,11550,1,East,2023,4,430000
220,3001,4,4,2,1,1,9249,2,West,2021,8,457000
221,1620,3,2,28,0,2,5998,1,North,2021,1,294000
222,1715,2,1,31,1,2,7201,2,West,2022,5,300000
223,1271,3,3,48,1,2,5250,1,West,2022,10,211000
224,2500,5,2,4,1,0,12462,2,Central,2023,3,551000
225,1214,2,1,1,1,2,3598,1,East,2022,6,342000
226,1145,2,1,19,1,1,5317,1,North,2021,5,244000
227,3560,6,2,30,0,3,17871,2,East,2022,4,938000
228,1847,4,2,36,0,2,7517,2,North,2023,1,392000
229,3400,4,3,3,1,3,13635,2,West,2022,3,569000
230,2181,4,2,4,1,0,9018,2,North,2021,5,376000
231,3470,5,2,17,1,2,7746,1,South,2021,9,516000
232,1681,3,1,5,1,2,4443,2,North,2023,1,437000
233,1688,2,1,41,1,3,4809,2,North,2021,6,335000
234,2350,3,1,14,1,2,5588,1,Central,2021,12,410000
235,1397,3,2,37,0,2,8201,1,Central,2021,12,255000
236,3336,5,1,21,0,0,17357,3,East,2022,6,657000
237,970,2,1,35,0,2,3578,1,South,2022,7,182000
238,1445,3,1,5,1,1,7989,1,Central,2021,4,289000
239,2385,4,1,39,1,0,5989,2,Central,2021,3,378000
240,1028,2,2,4,0,0,3174,1,Central,2022,10,237000
241,3632,6,4,19,0,3,14460,1,East,2023,1,953000
242,4176,5,2,3,1,1,16844,2,North,2023,1,916000
243,3987,5,1,14,1,3,8750,2,North,2023,5,874000
244,2163,3,3,5,1,3,4608,1,Central,2022,9,485000
245,1069,1,1,4,1,3,3539,1,Central,2022,10,289000
246,3772,6,3,48,0,3,8324,3,East,2021,4,907000
247,2141,4,1,3,1,3,4403,1,South,2021,6,398000
248,4394,5,3,36,0,1,10380,1,West,2023,1,608000
249,4122,6,6,49,1,1,13089,1,Central,2022,3,865000
250,2934,5,1,1,1,2,7301,1,West,2022,4,524000
251,1116,1,1,30,1,2,3640,1,West,2022,3,185000
252,2153,4,1,4,1,0,11087,1,South,2021,4,324000
253,3274,5,5,1,1,2,16613,1,South,2023,6,619000
254,2348,4,1,9,1,2,4818,2,West,2022,1,387000
255,1105,2,1,46,1,3,2323,1,Central,2023,5,268000
256,2331,4,4,1,1,2,13206,1,North,2021,4,475000
257,3820,5,4,22,0,2,17900,1,North,2022,7,819000
258,2009,3,2,16,1,2,11782,2,West,2021,1,325000
259,2288,3,1,42,1,2,13043,2,South,2022,4,335000
260,1565,2,1,2,1,3,5951,2,East,2022,5,377000
261,1983,4,3,28,1,1,8083,1,West,2023,5,339000
262,3949,5,1,28,1,2,22717,2,West,2021,9,585000
263,1429,2,2,28,1,2,4330,1,Central,2021,11,278000
264,2063,4,2,47,1,2,7765,1,South,2021,5,295000
265,2624,4,1,38,0,1,13206,2,East,2021,9,563000
266,2754,5,4,1,0,1,8061,2,North,2022,2,641000
267,1831,3,2,14,1,1,5925,1,Central,2022,4,419000
268,2566,4,2,9,1,1,10224,1,Central,2022,3,584000
269,1947,4,2,5,1,3,5794,1,South,2023,3,418000
270,921,1,1,13,1,2,3322,1,North,2022,12,243000
271,3103,5,1,8,1,1,13311,3,North,2023,3,667000
272,3068,5,2,11,1,1,16202,2,East,2021,1,687000
273,2736,5,4,49,1,1,12434,2,North,2021,3,571000
274,4103,6,5,2,1,3,8738,2,West,2021,9,748000
275,1826,3,1,45,1,2,8066,1,West,2023,6,285000
276,1608,3,2,15,0,3,3889,2,West,2022,11,285000
277,2573,4,1,24,0,1,6250,2,Central,2021,5,560000
278,2325,4,3,39,1,3,9589,1,South,2023,4,449000
279,3147,5,4,6,1,1,18206,2,Central,2021,12,712000
280,2561,5,1,11,0,0,8993,1,North,2022,9,517000
281,2735,5,5,10,0,0,6210,2,North,2022,3,647000
282,1670,2,1,7,1,2,4803,1,East,2023,6,455000
283,1633,3,2,45,1,1,3979,1,East,2022,2,372000
284,1238,2,1,39,0,2,7225,1,North,2021,11,175000
285,1673,2,1,2,0,3,5689,1,East,2022,5,424000
286,1426,3,1,2,1,1,3569,1,South,2021,4,223000
287,1844,4,3,11,1,1,8558,1,Central,2021,7,442000
288,1886,4,3,2,0,3,8580,1,East,2021,12,465000
289,1585,2,1,24,1,2,7321,2,East,2021,9,317000
290,2098,4,3,2,1,3,10152,2,Central,2021,11,519000
291,1119,2,2,17,1,1,3842,1,West,2023,6,228000
292,1452,3,2,1,1,1,3297,1,East,2021,12,347000
293,2636,4,3,5,1,1,6184,1,East,2022,7,695000
294,2341,4,3,28,1,3,13137,1,West,2021,11,358000
295,1484,2,1,15,1,3,6863,1,South,2023,3,298000
296,2191,3,3,49,0,3,6102,1,North,2022,3,347000
297,2985,5,4,42,1,2,10189,2,South,2022,8,524000
298,1148,2,1,6,1,3,3674,1,West,2022,11,244000
299,2404,3,1,1,1,2,12000,1,South,2023,3,426000
300,1384,3,2,40,0,2,5966,1,North,2021,12,228000
301,1316,3,2,44,1,3,3506,1,South,2021,3,218000
302,1795,2,1,38,0,1,7735,2,West,2022,9,226000
303,1697,2,1,2,1,1,3822,2,West,2022,2,325000
304,1700,2,1,50,0,1,4633,1,West,2021,3,173000
305,3175,5,5,4,1,2,13521,2,South,2021,9,573000
306,3942,6,5,31,1,1,17682,3,Central,2022,8,918000
307,1963,3,1,44,1,1,9723,2,East,2023,5,389000
308,2034,4,3,3,0,3,8865,1,East,2022,9,498000
309,2921,5,4,44,1,1,14356,2,Central,2021,1,615000
310,1378,2,1,5,1,1,4014,1,Central,2023,5,355000
311,2485,4,1,49,1,2,12639,2,West,2021,3,337000
312,955,1,1,4,0,3,2853,1,Central,2023,4,272000
313,1589,3,2,47,0,0,6624,2,East,2022,11,265000
314,4170,6,5,2,1,2,15806,3,South,2022,12,831000
315,3162,5,2,30,1,0,11620,2,South,2021,9,516000
316,1701,3,2,18,0,2,6588,1,East,2021,1,415000
317,1663,2,1,14,1,1,8997,1,West,2022,12,283000
318,1312,3,2,3,1,1,2814,1,East,2023,6,356000
319,1247,3,2,30,0,2,5650,1,Central,2022,8,190000
320,1011,2,1,3,1,3,5384,1,East,2021,1,283000
321,1855,4,2,20,1,2,9954,2,South,2021,12,327000
322,2697,4,1,4,1,3,11042,2,North,2021,11,582000
323,1795,2,2,47,1,2,10324,2,Central,2022,10,409000
324,1449,2,1,1,1,0,8092,1,Central,2021,11,261000
325,3960,6,2,3,0,1,21186,1,West,2021,11,600000
326,2644,4,2,3,0,3,14745,1,Central,2023,5,627000
327,2033,4,1,10,0,2,10417,1,Central,2022,8,475000
328,1788,3,1,3,1,3,9522,1,Central,2022,3,453000
329,1886,4,2,15,1,1,3897,1,South,2021,6,355000
330,1373,2,2,42,1,1,3912,1,East,2022,10,263000
331,1856,3,2,31,0,1,8254,1,North,2023,2,307000
332,3396,5,5,21,1,1,20019,3,Central,2022,1,753000
333,977,2,1,2,1,1,4103,1,Central,2021,5,274000
334,1353,2,1,29,1,2,5594,1,West,2023,4,231000
335,1463,2,1,3,1,2,4604,1,East,2021,4,364000
336,1000,1,1,36,1,1,4676,1,East,2022,3,213000
337,2552,5,1,4,1,0,11764,2,East,2021,12,651000
338,3168,5,2,10,0,2,6606,2,South,2021,9,516000
339,2154,4,1,6,1,2,5168,2,East,2022,7,540000
340,915,2,1,41,1,2,2549,1,North,2023,4,240000
341,1696,2,1,2,1,2,5012,1,Central,2022,9,426000
342,2372,3,2,20,0,3,11296,2,East,2022,4,461000
343,1142,2,1,2,1,2,4880,1,Central,2023,4,325000
344,1771,3,3,30,0,3,4990,1,West,2023,3,288000
345,2017,4,3,44,1,2,9064,2,South,2023,4,398000
346,2098,3,1,11,1,1,9936,1,South,2023,1,339000
347,2093,4,1,15,1,1,7934,1,Central,2021,8,444000
348,1118,1,1,45,0,2,2274,1,West,2023,3,166000
349,2486,4,2,17,1,2,8798,1,South,2022,8,381000
350,2011,3,2,15,1,2,7093,1,North,2023,6,424000
351,1661,2,1,21,0,1,6709,2,West,2023,3,267000
352,2669,4,2,29,1,2,14705,1,South,2022,11,479000
353,1989,3,3,2,0,2,7732,2,South,2021,2,400000
354,902,1,1,38,1,2,3060,1,West,2022,4,172000
355,1299,2,1,11,1,2,4203,1,West,2022,2,237000
356,1872,4,3,2,1,3,4341,2,East,2022,2,571000
357,1365,3,1,36,1,2,4508,1,Central,2023,1,319000
358,1893,4,2,7,1,1,5470,1,West,2022,2,343000
359,3934,6,5,2,1,3,20848,3,Central,2022,5,1022000
360,2314,4,3,25,0,1,5603,2,North,2022,1,445000
361,2349,3,1,42,1,2,12334,2,South,2022,12,363000
362,2403,3,1,43,1,1,9701,1,North,2021,6,358000
363,2170,3,2,48,1,0,4830,2,South,2023,5,372000
364,2278,4,1,41,1,1,8544,1,Central,2021,9,381000
365,4236,5,3,1,0,1,16081,2,Central,2022,10,926000
366,2099,3,2,8,1,1,11269,2,West,2021,11,373000
367,3659,6,4,38,1,1,14537,2,East,2021,7,951000
368,3695,6,3,7,1,2,16153,1,West,2021,1,643000
369,1203,2,1,23,0,2,7158,1,East,2023,5,276000
370,1122,1,1,23,1,3,5754,1,North,2021,9,214000
371,959,2,1,7,0,3,5035,1,East,2021,4,277000
372,1493,2,1,44,1,2,6322,1,East,2023,5,307000
373,1455,2,1,16,1,3,6441,1,South,2023,2,278000
374,1663,2,1,13,1,2,8403,1,South,2021,11,325000
375,1221,3,1,50,1,2,6713,1,South,2022,5,183000
376,1659,3,3,15,1,2,3710,2,West,2022,8,342000
377,2552,4,3,3,1,1,6697,1,North,2022,8,614000
378,1498,3,2,17,1,2,8808,1,West,2022,5,261000
379,2989,5,1,38,1,2,17826,2,East,2021,1,610000
380,1414,2,1,35,1,1,4635,1,South,2022,2,221000
381,1443,3,1,36,1,1,5413,1,Central,2021,12,244000
382,1762,2,2,30,1,1,3760,1,East,2023,3,432000
383,1659,2,2,4,0,3,6659,1,South,2022,7,351000
384,3484,4,3,41,1,3,17453,1,Central,2021,3,577000
385,3021,4,3,43,1,1,8285,2,South,2021,4,486000
386,2583,5,4,3,0,1,12187,1,Central,2021,5,646000
387,1090,2,1,2,1,1,2236,1,East,2021,10,310000
388,970,1,1,49,1,3,3560,1,South,2022,1,183000
389,3110,4,2,41,1,1,10923,2,West,2023,2,453000
390,2570,4,3,43,0,3,10164,1,South,2021,3,402000
391,4192,6,4,43,1,2,16469,1,North,2023,3,842000
392,2483,4,3,19,0,3,10871,1,North,2022,4,459000
393,1841,4,3,26,0,2,8420,2,South,2022,3,369000
394,2914,4,3,19,1,2,8931,2,West,2022,7,488000
395,1723,3,1,2,0,2,7561,1,Central,2021,8,377000
396,4465,5,4,33,1,3,20760,1,Central,2022,3,882000
397,3412,4,4,16,0,3,9211,1,South,2021,8,531000
398,2184,3,1,26,1,2,7195,2,West,2021,12,312000
399,2753,4,2,16,1,2,13772,2,South,2021,2,499000
400,3093,4,1,15,1,3,11943,3,West,2022,11,569000
401,1508,3,2,3,1,3,4158,2,Central,2023,3,434000
402,3541,6,4,4,1,2,12816,3,North,2022,10,920000
403,2235,4,4,3,1,0,9621,1,Central,2022,3,495000
404,2584,5,3,3,1,1,9449,2,Central,2023,1,721000
405,2030,3,3,49,1,3,11757,2,West,2022,6,288000
406,3174,5,5,3,1,0,15209,2,West,2021,2,516000
407,2198,4,1,4,1,1,5228,1,West,2023,6,375000
408,1478,2,2,22,1,1,7361,1,Central,2021,4,252000
409,4036,6,3,24,1,2,13179,3,West,2022,8,703000
410,1223,3,1,3,1,2,4660,1,South,2021,5,236000
411,1868,4,2,36,0,1,9455,2,West,2021,5,281000
412,3710,5,3,36,1,1,12694,1,South,2022,4,638000
413,4186,6,6,3,1,2,20413,1,Central,2021,5,962000
414,2334,3,2,4,1,3,13747,2,Central,2023,2,538000
415,1922,4,2,46,1,0,6128,2,East,2023,3,437000
416,1845,4,1,38,0,1,9674,2,West,2022,3,218000
417,1171,2,1,30,1,2,6199,1,Central,2022,3,268000
418,2006,4,1,2,1,3,8279,2,South,2021,6,408000
419,1735,2,1,10,1,2,10292,1,East,2021,7,420000
420,3188,4,2,20,1,2,10496,3,East,2023,5,720000
421,3161,4,2,3,1,3,15429,3,West,2022,9,580000
422,2808,4,4,12,1,1,12969,1,South,2022,10,542000
423,1368,3,1,23,1,1,7924,1,West,2021,8,211000
424,1924,4,1,5,1,2,8261,1,East,2022,1,468000
425,974,2,1,35,1,3,2137,1,North,2021,7,201000
426,1610,3,1,39,1,2,3944,1,North,2022,3,344000
427,2070,3,3,5,1,3,8450,1,North,2021,1,452000
428,3137,4,3,39,0,2,18173,1,North,2021,3,520000
429,2177,4,2,2,0,2,10988,1,East,2022,4,482000
430,1002,2,1,39,0,0,2416,1,West,2022,10,113000
431,975,1,1,3,1,1,2387,1,North,2022,4,253000
432,3051,5,1,2,1,2,15081,3,West,2021,6,530000
433,1819,4,2,26,1,1,7103,2,East,2023,5,490000
434,1418,3,2,14,1,0,4252,1,North,2022,3,295000
435,1171,1,1,44,1,3,3429,1,East,2021,12,252000
436,2636,4,1,6,1,3,14388,1,West,2021,12,482000
437,1257,3,1,4,0,1,2888,1,North,2022,6,278000
438,3403,4,2,16,1,2,13066,3,North,2021,3,655000
439,2571,4,1,13,0,0,8091,1,Central,2023,5,548000
440,1150,2,1,5,0,1,4234,1,West,2021,7,181000
441,1278,3,1,29,0,2,7633,1,East,2021,5,255000
442,3792,6,4,34,0,2,17428,1,West,2023,3,594000
443,1762,2,1,40,0,0,3948,1,Central,2022,3,297000
444,2049,4,3,49,1,1,7488,2,Central,2021,4,367000
445,3354,4,1,4,0,1,18321,1,South,2021,7,462000
446,4057,6,1,31,1,3,24178,1,East,2021,12,910000
447,4221,6,5,9,0,2,8598,1,West,2022,11,687000
448,2810,5,2,28,0,2,12459,2,North,2023,3,562000
449,2227,4,3,14,1,0,6255,2,Central,2021,9,468000
450,1569,3,1,50,1,2,7752,2,East,2021,5,286000
451,3042,4,2,32,1,2,18160,1,South,2023,4,541000
452,1609,2,1,47,1,3,8749,2,Central,2022,4,372000
453,2284,4,3,39,1,1,6608,2,North,2023,5,446000
454,4337,5,1,44,1,3,16201,3,North,2023,6,846000
455,1467,3,1,38,1,2,7056,1,West,2021,1,175000
456,1907,4,3,13,1,1,5167,1,South,2021,3,363000
457,1579,3,1,4,0,1,6220,2,West,2022,11,253000
458,1707,3,3,7,1,2,6890,1,North,2023,5,454000
459,1037,1,1,1,1,3,3850,1,South,2022,7,296000
