customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
0066-WRHTA,Female,1,Yes,No,62,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,89.04,5629.89,No
5426-JRQMG,Male,0,Yes,No,69,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,116.02,7958.29,No
3917-BILFA,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,135.04,2678.6,No
1124-JENIM,Male,0,No,No,40,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,84.89,3468.78,Yes
9607-UTKIN,Male,0,No,Yes,41,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,124.87,5018.56,No
6665-JNPSJ,Male,0,No,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),36.39,1212.97,No
0604-WWIJB,Male,0,No,No,2,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,111.08,217.89,No
9133-NNOKK,Male,0,Yes,Yes,63,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),124.68,7828.81,No
0952-VDPQA,Female,0,Yes,No,14,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),96.19,1318.96,No
8076-ZGYEL,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,91.09,6264.12,No
8412-JHLXA,Male,1,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),37.47,2197.15,No
6061-XYNVU,Male,0,No,No,50,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),144.85,7593.22,No
6992-EPXRP,Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,121.16,2106.02,No
5817-YKBZR,Female,0,Yes,No,46,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,78.68,3588.94,No
4405-CVBLI,Male,1,Yes,Yes,28,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,83.28,2270.02,No
1438-NNVCE,Male,0,Yes,No,27,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.95,2337.0,No
1799-QENED,Female,0,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),125.61,7958.21,No
0223-DPPDT,Male,0,Yes,Yes,37,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),142.68,5139.21,Yes
3955-NQYNG,Female,0,No,No,42,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),65.85,2847.3,No
4463-FTQWQ,Male,1,Yes,Yes,65,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,No,Mailed check,87.94,5691.4,No
3055-QCPEZ,Male,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,127.68,1501.11,No
0002-XLJAW,Female,0,Yes,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),49.26,2472.33,Yes
6243-SLARX,Female,0,Yes,No,50,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),127.49,6319.41,No
7681-HGJCE,Female,0,No,No,40,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),130.82,5191.6,No
4251-FMVGF,Male,0,No,No,64,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,117.55,7365.16,Yes
2220-NKMQZ,Male,0,Yes,Yes,70,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,83.57,6139.29,Yes
5810-HRHUD,Female,0,No,Yes,43,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,104.31,4511.78,No
9604-WUAPG,Male,0,Yes,Yes,42,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,108.75,4579.16,Yes
5075-PFGLK,Male,1,Yes,No,45,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,131.31,5866.16,No
9406-FRLYM,Male,0,No,Yes,58,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),126.71,7549.88,Yes
5044-DXAZW,Male,0,No,No,55,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),89.82,4747.65,No
4683-FEBSF,Female,0,Yes,No,25,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,83.6,2156.39,No
8227-PHYWM,Male,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),128.0,1117.61,Yes
1970-PXTYM,Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,139.26,10195.81,No
0072-IXAHP,Male,0,Yes,Yes,28,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.47,2752.03,Yes
8684-JWLEE,Male,0,Yes,No,54,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,132.06,7290.73,No
7400-PVWUO,Male,0,No,No,64,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),145.97,9673.06,No
6582-XSNNC,Male,1,No,No,31,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,139.39,4318.7,No
5134-BCNYB,Female,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),144.45,7846.85,No
5133-NEBUZ,Female,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),127.72,1872.38,No
5643-YEJXP,Female,1,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Electronic check,133.66,9621.48,No
2095-TXWLV,Female,0,Yes,No,8,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Mailed check,76.95,609.73,No
5607-SJTUW,Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),45.99,1958.11,No
0634-NGLPE,Female,0,No,No,47,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),88.18,4066.56,No
2834-DCJUM,Male,0,Yes,No,62,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.37,5437.74,No
4997-URSJL,Male,0,Yes,Yes,15,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,92.19,1321.45,No
4814-SKXLD,Male,0,No,No,41,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,129.23,5160.3,No
8322-PVXXZ,Male,0,No,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),131.19,3918.06,No
5630-FUKGN,Male,0,Yes,No,32,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,123.09,4132.21,No
8103-FFZCK,Male,0,No,Yes,61,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,69.88,4138.3,No
1404-QHFMQ,Female,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,115.89,115.89,No
2827-XNNMN,Male,0,No,Yes,60,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,86.79,5410.51,No
4538-SEDAA,Male,0,No,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,34.03,2228.33,No
7407-QJJVF,Male,0,Yes,Yes,68,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,100.72,6936.94,No
6288-JWJEY,Male,0,Yes,Yes,53,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,70.25,3598.18,No
7441-YMFSY,Female,0,No,Yes,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.03,640.39,No
0897-LZZVR,Male,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),137.99,5412.17,No
6904-UPECU,Female,0,No,No,71,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),71.4,5208.94,No
7960-FIBNH,Female,1,Yes,Yes,67,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,85.98,5604.84,No
5300-DSROK,Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,135.85,6021.4,Yes
9503-LYEIV,Male,0,No,No,70,No,No phone service,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,56.14,3832.52,No
4925-VXPJS,Female,0,No,No,64,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),87.97,5851.1,No
9089-OWYEU,Female,1,No,No,68,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,106.53,7258.03,No
5300-SCVSS,Female,0,No,No,56,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),115.96,6287.55,Yes
4718-RUCVF,Female,0,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,35.73,2308.13,No
3091-EBYTI,Male,0,Yes,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),48.42,3187.01,Yes
0352-PVUOD,Male,0,No,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,17.76,203.94,No
6586-VFOZJ,Male,1,Yes,No,71,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,101.6,7033.14,No
3522-MNVFQ,Female,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,137.07,4644.19,No
9975-HXJMN,Female,0,No,No,41,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,147.66,5920.2,Yes
2222-GKTMY,Male,0,Yes,No,62,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),81.57,5038.54,No
8646-NWCVA,Male,0,No,No,55,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,142.83,7533.48,No
8476-IBQZW,Male,0,Yes,No,67,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,98.26,6677.73,No
2642-TDKBN,Male,0,No,Yes,38,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),95.0,3451.78,No
1358-HTNFA,Female,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),46.96,1804.07,No
3221-WNYAR,Female,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),131.02,671.69,No
7881-VBTWC,Female,0,No,No,43,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,102.15,4208.98,Yes
6254-TAIGI,Male,0,No,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.67,2190.57,No
5786-PYTNQ,Male,0,No,No,31,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,125.05,3956.09,No
1422-WGOZC,Female,0,No,No,43,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),154.61,6905.27,No
8952-BILET,Female,0,No,Yes,24,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,121.47,3059.35,No
3129-JMTCC,Female,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,151.83,9028.57,No
4251-MHSVF,Female,0,No,No,8,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.0,729.95,No
7869-VYJSP,Male,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),130.13,7152.24,No
8437-AVHJA,Male,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),47.93,1736.25,Yes
2951-FVVED,Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.32,190.21,No
0267-YRTBL,Male,0,No,No,65,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,86.26,5602.71,No
6844-EMSFF,Male,0,Yes,No,44,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.6,3293.26,No
7449-SCFNJ,Male,1,No,No,51,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,143.61,7063.27,No
5647-PSHSR,Female,0,Yes,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),38.37,2287.88,No
9410-OWBAD,Male,1,Yes,Yes,55,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,119.12,6595.08,Yes
5066-VQYES,Male,0,Yes,Yes,59,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,133.87,7809.81,No
8995-IFCYV,Female,0,No,No,60,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),114.93,6595.84,No
9523-ZNMXW,Male,0,Yes,Yes,51,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,89.28,4768.4,No
4256-MKVIN,Male,0,No,Yes,36,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),126.96,4495.9,No
0579-JEWWN,Female,0,No,No,26,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,86.64,2228.58,No
0229-NNIQP,Male,0,No,No,68,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),95.4,6809.55,No
1009-ZZAGG,Male,0,No,Yes,71,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),100.53,7270.65,No
5231-MYWAY,Male,0,No,Yes,35,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,120.1,4116.9,No
3740-HQGYY,Male,0,No,Yes,14,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Mailed check,78.58,1116.33,No
6595-TMYYF,Female,0,No,No,25,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,124.45,3106.76,No
5936-DKZIE,Female,0,No,Yes,55,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,73.64,3850.55,No
8327-LSDYJ,Female,0,No,No,20,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,91.14,1824.52,No
9734-OAKTJ,Female,0,No,Yes,61,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.2,4543.58,No
5200-XEPEW,Female,0,Yes,Yes,69,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,100.84,7017.41,No
9247-GZCIO,Male,0,No,No,71,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.47,5163.79,No
1655-SCJPE,Female,0,Yes,Yes,2,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.11,200.02,No
3542-NSPSF,Male,0,Yes,Yes,70,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,83.26,5685.93,No
7918-RAWIM,Female,0,No,No,59,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,117.51,6755.01,Yes
5075-OEDQZ,Female,0,No,No,11,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,88.57,1001.55,Yes
9077-AOBDJ,Male,0,No,No,39,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),121.28,4562.36,Yes
1435-MNBZT,Male,0,No,Yes,57,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),112.31,6341.33,No
0640-WCVJI,Male,0,No,No,70,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),130.05,9193.12,Yes
7245-EPLXU,Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),118.58,2320.54,No
4468-EHMIJ,Female,0,No,No,16,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,86.93,1375.08,No
7656-IBSGZ,Female,0,Yes,No,43,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),83.07,3615.87,No
7018-YDHHJ,Male,0,Yes,No,71,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,98.73,7125.6,No
5445-EILZO,Male,0,No,Yes,71,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,119.3,8192.37,No
9806-LGNGX,Male,1,Yes,Yes,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,153.96,3693.63,No
2088-IMELG,Male,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,114.38,3934.04,Yes
7978-PWBMO,Male,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,38.64,2624.15,No
9765-SBSGJ,Male,0,Yes,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,42.73,2557.72,Yes
1571-QBMEQ,Female,0,Yes,No,71,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,130.16,8921.14,No
8329-WNCPJ,Male,0,Yes,Yes,67,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.98,7670.31,No
6231-ZTBCE,Male,0,Yes,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,41.64,967.95,No
9554-GVAYQ,Female,0,Yes,No,60,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),113.47,6505.04,Yes
5736-VHLTR,Male,0,No,No,7,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,126.86,924.58,No
2894-PICGZ,Female,0,Yes,No,63,No,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),59.36,3772.69,No
6013-AJJNK,Female,0,No,No,51,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),136.64,6927.45,No
6491-BIEHW,Male,0,Yes,No,70,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,140.3,10156.34,No
2938-SMPHC,Male,1,No,No,71,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),89.72,6368.49,No
9519-FBLYG,Male,0,No,No,7,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,105.87,711.16,Yes
2304-VQLUH,Male,0,No,No,19,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,138.29,2709.04,No
4917-MWHTR,Male,0,No,No,44,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),84.95,3737.44,No
8239-DNXKX,Female,0,No,No,67,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.71,6294.36,Yes
5767-CUSOF,Male,0,Yes,Yes,63,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),112.67,7266.73,Yes
2319-DRJBM,Male,0,No,No,71,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),103.94,7445.84,No
6737-GHVCQ,Male,0,No,Yes,52,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,93.01,4889.72,No
5019-CQKBR,Female,0,Yes,Yes,28,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,82.06,2384.55,No
9287-ABUOG,Male,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),34.95,139.33,No
0204-ZKWGL,Male,0,Yes,No,25,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,67.71,1656.63,No
0582-UDAAP,Male,0,No,Yes,56,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,120.54,6625.78,No
8394-WTNYP,Female,0,Yes,No,69,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),91.99,6635.54,No
7409-UVBQQ,Male,0,Yes,No,33,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,105.79,3329.69,No
9866-UWWAG,Female,0,No,No,66,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,88.47,5847.92,No
4738-NENBJ,Female,0,No,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.27,713.4,No
9991-GLJUS,Male,1,Yes,Yes,32,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,91.25,3000.75,No
8766-JVXDK,Female,0,Yes,No,46,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,120.24,5761.21,Yes
4041-ZNEDB,Male,0,No,Yes,41,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,128.85,5492.28,No
7309-XFQMK,Female,0,No,No,68,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),127.07,9061.03,Yes
3103-FFAIE,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,132.24,5564.68,No
5110-UEJVV,Male,0,No,Yes,29,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,80.67,2303.14,No
2162-FPPGF,Male,1,Yes,No,65,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,98.9,6556.13,No
2679-BSIFD,Female,0,Yes,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,17.71,1244.61,No
5229-VRPPS,Male,0,No,No,54,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,110.5,6071.77,No
2916-KQWZK,Male,0,No,No,27,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,128.5,3506.01,No
6083-OLNIH,Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,130.66,3384.47,No
6446-PYZLO,Female,0,No,No,8,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,51.56,401.33,Yes
6417-KYSGV,Female,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),134.37,1315.91,No
